,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
28238,India,South Africa,Durban,133,27,6,8.580645161290322,48.0,168
8814,Pakistan,New Zealand,Abu Dhabi,122,13,5,6.841121495327103,37.0,148
15321,West Indies,England,London,50,83,9,8.108108108108109,42.0,169
13487,New Zealand,West Indies,Mount Maunganui,113,48,8,9.416666666666666,55.0,238
41224,India,Sri Lanka,Mirpur,25,88,9,4.6875,24.0,130
33041,Pakistan,India,Colombo,77,49,5,6.507042253521127,33.0,128
34816,West Indies,New Zealand,Lauderhill,70,68,9,8.076923076923077,40.0,177
40279,South Africa,England,Chittagong,117,34,8,8.162790697674419,37.0,196
12856,Bangladesh,Pakistan,Lahore,56,66,10,6.222222222222222,30.0,141
1799,New Zealand,Australia,Sydney,51,57,6,4.857142857142857,22.0,117
12496,Sri Lanka,Pakistan,Lahore,91,54,9,8.272727272727273,27.0,165
24453,Australia,Bangladesh,Barbados,141,0,3,6.991735537190083,57.0,141
5574,India,Sri Lanka,Colombo,126,28,7,8.217391304347826,43.0,174
47418,Pakistan,India,Kolkata,51,59,8,5.016393442622951,26.0,118
50463,Sri Lanka,Australia,Colombo,88,33,3,6.068965517241379,26.0,128
14702,Australia,England,Sydney,50,91,9,10.344827586206897,50.0,221
9888,Australia,South Africa,Johannesburg,155,24,6,9.6875,41.0,196
27703,Australia,England,Melbourne,56,85,9,9.6,54.0,147
28877,Pakistan,South Africa,Abu Dhabi,107,8,1,5.732142857142857,17.0,119
32813,West Indies,Sri Lanka,Pallekele,90,27,7,5.806451612903226,35.0,129
4426,India,England,Cardiff,48,65,7,5.236363636363636,26.0,148
33024,Pakistan,India,Colombo,56,66,6,6.222222222222222,23.0,128
35817,New Zealand,England,Hamilton,102,51,9,8.869565217391305,43.0,192
9633,England,South Africa,Durban,147,19,5,8.732673267326733,44.0,204
50247,Bangladesh,India,Mirpur,116,34,5,8.093023255813954,51.0,120
2605,West Indies,Pakistan,Barbados,101,10,3,5.509090909090909,42.0,111
42028,South Africa,West Indies,Johannesburg,173,30,6,11.533333333333333,47.0,231
14635,South Africa,Australia,Johannesburg,127,35,9,8.964705882352941,53.0,201
45231,England,Pakistan,Dubai,50,76,8,6.818181818181818,32.0,172
21254,England,India,London,145,3,4,7.435897435897436,45.0,153
18550,West Indies,South Africa,Johannesburg,40,75,8,5.333333333333333,24.0,131
39006,Afghanistan,Bangladesh,Mirpur,43,72,6,5.375,28.0,72
29729,Australia,India,Sydney,131,31,8,8.831460674157304,52.0,171
35602,Pakistan,South Africa,Centurion,168,23,7,10.391752577319588,48.0,195
15067,South Africa,India,Johannesburg,31,88,8,5.8125,29.0,126
36213,Pakistan,Australia,Dubai,125,19,7,7.425742574257426,41.0,151
19362,South Africa,Australia,Centurion,90,38,7,6.585365853658536,30.0,156
